timestamp_ddmmyy HHMMSS.f,buysell,symbol,currency,price,qty,value
300421 214034.525000,Buy,BTCUSD,USD,55211.48,0.00024915,13.755940242
300421 214034.525000,Buy,BTCUSD,USD,55211.47,0.0027398,151.268385506
300421 214034.525000,Buy,BTCUSD,USD,55211.47,0.00236819,130.7512511393
300421 214002.641000,Buy,BTCUSD,USD,55082.15,0.00018227,10.039823480499999
300421 214002.641000,Buy,BTCUSD,USD,55078.57,0.00504154,277.6808137978
300421 213757.145000,Buy,BTCUSD,USD,55022.62,0.0054054,297.41927014799995
300421 120607.430000,Buy,ETHUSD,USD,2376.59,0.04,95.06360000000001
290421 233934.332000,Buy,BTCUSD,USD,53852.94,0.00001666,0.8971899804
290421 233917.772000,Buy,BTCUSD,USD,53852.94,0.00185528,99.9122825232
290421 233903.050000,Buy,BTCUSD,USD,53870.28,0.00001834,0.9879809352
290421 233851.221000,Buy,BTCUSD,USD,53870.28,0.00001834,0.9879809352
290421 233828.700000,Buy,BTCUSD,USD,53868.56,0.00001818,0.9793304208
